index,latitude,longitude,calczip
150,29.768100800000003,-95.6436462,77077
156,29.73337941,-95.34909814,77003
160,29.60555692,-95.30696379999999,77048
204,29.768100800000003,-95.6436462,77077
217,29.85139092,-95.42601018,77091
272,29.77229376,-95.37586965,77201
303,29.774473200000003,-95.37239067,77201
311,29.774473200000003,-95.37239067,77201
326,29.82170825,-95.20742755,77013
350,29.75392152,-95.6061096,77077
382,29.774473200000003,-95.37239067,77201
392,29.80033307,-95.68846902,77084
393,29.62697227,-95.43532555,77045
637,29.74392711,-95.4517747,77027
648,29.76736062,-95.33469388,77020
862,29.73693479,-95.39928439,77006
864,29.73693479,-95.39928439,77006
941,29.70181701,-95.49302195,77081
950,29.73693479,-95.39928439,77006
952,29.73693479,-95.39928439,77006
1059,29.80395118,-95.31702425,77026
1080,29.67164424,-95.51242056,77071
1111,29.79990777,-95.39786538,77008
1127,29.85807999,-95.37975307,77076
1192,29.73037529,-95.32233426,77023
1207,29.62454886,-95.23832663,77075
1213,30.06661598,-95.13881613,77345
1227,29.59868052,-95.47006997,77053
1243,29.6711521,-95.59345244,77099
1252,29.59621992,-95.46237189,77053
1258,29.5971641,-95.46027364,77053
1271,29.597535999999998,-95.46114344,77053
1279,29.60198215,-95.47344216,77085
1284,29.597535999999998,-95.46114344,77053
1289,29.59868052,-95.47006997,77053
1468,29.61557964,-95.27558134,77075
1500,29.78135485,-95.25887297,77029
1572,29.80806922,-95.39596563,77008
1580,29.83396725,-95.42591092,77018
1722,29.7738724,-95.30631246,77020
1836,29.87099272,-95.35189051,77093
1850,29.70720283,-95.28607931,77012
1906,29.79419526,-95.40833275,77008
1914,29.68698127,-95.30278768,77087
1922,29.84436615,-95.36647029,77076
1953,29.80582426,-95.41017913,77008
2089,29.69084175,-95.49689479,77081
2095,29.83251764,-95.52639016,77080
2097,29.93181221,-95.412407,77060
2130,29.66162497,-95.3024598,77061
2256,29.75979029,-95.36779026,77201
2413,29.86526307,-95.45138543,77091
2509,29.63458625,-95.4972419,77085
2626,30.03498502,-95.25898947,77338
2645,29.78915709,-95.18324823,77015
2692,29.82515521,-95.36567691,77022
2744,29.71759216,-95.38054668,77004
2834,29.77777302,-95.39872744,77007
2854,29.73092268,-95.32414254,77023
2858,29.73023912,-95.32442857,77023
3436,29.59323132,-95.35108188,77047
3588,29.82843589,-95.37052147,77022
3638,29.78123096,-95.37767786,77009
3729,29.983381400000003,-95.28618254,77338
3796,29.946142100000003,-95.43345632,77067
3947,29.85883707,-95.32128900000001,77093
3959,29.92895503,-95.39531716,77060
4060,29.90884214,-95.41281888,77037
4123,29.72629739,-95.53506477,77063
4442,29.64312347,-95.39705888,77045
4458,29.84474174,-95.49216454,77092
4509,29.70824623,-95.61473083,77072
4530,29.78111458,-95.33177945,77020
4531,29.78075406,-95.33260339,77020
4657,29.77116583,-95.57575219,77079
4723,29.73691561,-95.29919444,77011
4841,30.048993300000003,-95.2160573,77339
4873,29.66364658,-95.54087842,77031
4927,29.79159726,-95.37338249999999,77009
4983,29.75392152,-95.6061096,77077
5097,29.802188800000003,-95.28256228,77028
5135,29.67441175,-95.37040716,77051
5141,29.78082844,-95.30321502,77020
